SMILES,rdkit_SMILES,Molecular Weight,Molecular Formula,IUPAC chemical name,EPISUITE-compatible SMILES,InChI Code,InChI Key
[H][H],[H][H],2.016,H2,dihydrogen,[H][H],InChI=1S/H2/h1H,InChIKey=UFHFLCQGNIYNRP-UHFFFAOYSA-N
C,C,16.043,CH4,methane,C,InChI=1S/CH4/h1H4,InChIKey=VNWKTOKETHGBQD-UHFFFAOYSA-N
N,N,17.031,H3N,ammonia,N,InChI=1S/H3N/h1H3,InChIKey=QGZKDVFQNNGYKY-UHFFFAOYSA-N
O,O,18.015,H2O,water,O,InChI=1S/H2O/h1H2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
C#C,C#C,26.038,C2H2,ethyne,C#C,InChI=1S/C2H2/c1-2/h1-2H,InChIKey=HSFWRNGVRCDJHI-UHFFFAOYSA-N
C#N,C#N,27.026,CHN,hydrogen cyanide,C#N,InChI=1S/CHN/c1-2/h1H,InChIKey=LELOWRISYMNNSU-UHFFFAOYSA-N
N#N,N#N,28.014,N2,dinitrogen,N#N,InChI=1S/N2/c1-2,InChIKey=IJGRMHOSHXDMSA-UHFFFAOYSA-N
C=C,C=C,28.054,C2H4,ethene,C=C,InChI=1S/C2H4/c1-2/h1-2H2,InChIKey=VGGSQFUCUMXWEO-UHFFFAOYSA-N
C=O,C=O,30.026,CH2O,formaldehyde,C=O,InChI=1S/CH2O/c1-2/h1H2,InChIKey=WSFSSNUMVMOOMR-UHFFFAOYSA-N
CC,CC,30.07,C2H6,ethane,CC,InChI=1S/C2H6/c1-2/h1-2H3,InChIKey=OTMSDBZUPAUEDD-UHFFFAOYSA-N
[N]=O,[N]=O,31.014,HNO,nitrosyl hydride,[N]=O,InChI=1S/HNO/c1-2/h1H,InChIKey=ODUCDPQEXGNKDN-UHFFFAOYSA-N
NC,CN,31.058,CH5N,methanamine,NC,"InChI=1S/CH5N/c1-2/h2H2,1H3",InChIKey=BAVYZALUXZFZLV-UHFFFAOYSA-N
O=O,O=O,31.998,O2,dioxygen,O=O,InChI=1S/O2/c1-2,InChIKey=MYMOFIZGZYHOMD-UHFFFAOYSA-N
OC,CO,32.042,CH4O,methanol,OC,"InChI=1S/CH4O/c1-2/h2H,1H3",InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N
NN,NN,32.046,H4N2,hydrazine,NN,InChI=1S/H4N2/c1-2/h1-2H2,InChIKey=OAKJQQAXSVQMHS-UHFFFAOYSA-N
NO,NO,33.03,H3NO,hydroxylamine,NO,"InChI=1S/H3NO/c1-2/h2H,1H2",InChIKey=AVXURJPOCDRRFD-UHFFFAOYSA-N
P,P,33.9978,H3P,phosphane,P,InChI=1S/H3P/h1H3,InChIKey=XYFCBTPGUUZFHI-UHFFFAOYSA-N
OO,OO,34.014,H2O2,hydrogen peroxide,OO,InChI=1S/H2O2/c1-2/h1-2H,InChIKey=MHAJPDPJQMAIIY-UHFFFAOYSA-N
C(F),CF,34.0334,CH3F,fluoromethane,C(F),InChI=1S/CH3F/c1-2/h1H3,InChIKey=NBVXSUQYWXRMNV-UHFFFAOYSA-N
S,S,34.076,CH3F,hydrogen sulfide,S,InChI=1S/H2S/h1H2,InChIKey=RWSOTUBLDIXVET-UHFFFAOYSA-N
C1=CC1,C1=CC1,40.065,C3H4,cyclopropene,C1=CC1,"InChI=1S/C3H4/c1-2-3-1/h1-2H,3H2",InChIKey=OOXWYYGXTJLWHA-UHFFFAOYSA-N
CC#C,C#CC,40.065,C3H4,prop-1-yne,CC#C,"InChI=1S/C3H4/c1-3-2/h1H,2H3",InChIKey=MWWATHDPGQKSAR-UHFFFAOYSA-N
C=C=C,C=C=C,40.065,C3H4,"propa-1,2-diene",C=C=C,InChI=1S/C3H4/c1-3-2/h1-2H2,InChIKey=IYABWNGZIDDRAK-UHFFFAOYSA-N
C1=CN1,C1=CN1,41.053,C2H3N,1H-azirine,C1=CN1,InChI=1S/C2H3N/c1-2-3-1/h1-3H,InChIKey=ZHKJHQBOAJQXQR-UHFFFAOYSA-N
N#CC,CC#N,41.053,C2H3N,acetonitrile,N#CC,InChI=1S/C2H3N/c1-2-3/h1H3,InChIKey=WEVYAHXRMPXWCK-UHFFFAOYSA-N
C[N+]#[C-],[C-]#[N+]C,41.053,C2H3N,isocyanomethane,CN#C,InChI=1S/C2H3N/c1-3-2/h1H3,InChIKey=ZRKSVHFXTRFQFL-UHFFFAOYSA-N
C1=CO1,C1=CO1,42.037,C2H2O,oxirene,C1=CO1,InChI=1S/C2H2O/c1-2-3-1/h1-2H,InChIKey=BJEYNNFDAPPGST-UHFFFAOYSA-N
N#CN,N#CN,42.041,CH2N2,cyanamide,N#CN,InChI=1S/CH2N2/c2-1-3/h2H2,InChIKey=XZMCDFZZKTWFGF-UHFFFAOYSA-N
C(C1)(C1),C1CC1,42.081,C3H6,cyclopropane,C(C1)(C1),InChI=1S/C3H6/c1-2-3-1/h1-3H2,InChIKey=LVZWSLJZHVFIQJ-UHFFFAOYSA-N
CC=C,C=CC,42.081,C3H6,prop-1-ene,CC=C,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",InChIKey=QQONPFPTGQHPMA-UHFFFAOYSA-N
OC#N,N#CO,43.025,CHNO,cyanic acid,OC#N,InChI=1S/CHNO/c2-1-3/h3H,InChIKey=XLJMAIOERFSOGZ-UHFFFAOYSA-N
N=[N+]=[N-],[N-]=[N+]=N,43.029,HN3,hydrogen azide,N=[N+]=[N-],InChI=1S/HN3/c1-3-2/h1H,InChIKey=JUINSXZKUKVTMD-UHFFFAOYSA-N
C1CN1,C1CN1,43.069,C2H5N,aziridine,C1CN1,"InChI=1S/C2H5N/c1-2-3-1/h3H,1-2H2",InChIKey=NOWKCMXCCJGMRR-UHFFFAOYSA-N
C=CN,C=CN,43.069,C2H5N,ethenamine,C=CN,"InChI=1S/C2H5N/c1-2-3/h2H,1,3H2",InChIKey=UYMKPFRHYYNDTL-UHFFFAOYSA-N
CN=C,C=NC,43.069,C2H5N,N-methylmethanimine,CN=C,"InChI=1S/C2H5N/c1-3-2/h1H2,2H3",InChIKey=NYVSDPNXBIEFPW-UHFFFAOYSA-N
O=C=O,O=C=O,44.009,CO2,carbon dioxide,O=C=O,InChI=1S/CO2/c2-1-3,InChIKey=CURLTUGMZLYLDI-UHFFFAOYSA-N
C#C(F),C#CF,44.0284,C2HF,fluoroethyne,C#C(F),InChI=1S/C2HF/c1-2-3/h1H,InChIKey=IAWCIZWLKMTPLL-UHFFFAOYSA-N
O=CC,CC=O,44.053,C2H4O,acetaldehyde,O=CC,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",InChIKey=IKHGUXGNUITLKF-UHFFFAOYSA-N
C1CO1,C1CO1,44.053,C2H4O,oxirane,C1CO1,InChI=1S/C2H4O/c1-2-3-1/h1-2H2,InChIKey=IAYPIBMASNFSPL-UHFFFAOYSA-N
N1NC1,C1NN1,44.057,CH4N2,diaziridine,N1NC1,"InChI=1S/CH4N2/c1-2-3-1/h2-3H,1H2",InChIKey=DIXBSCZRIZDQGC-UHFFFAOYSA-N
CCC,CCC,44.097,C3H8,propane,CCC,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",InChIKey=ATUOYWHBWRKTHZ-UHFFFAOYSA-N
O=CN,NC=O,45.041,CH3NO,formamide,O=CN,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)",InChIKey=ZHNUHDYFZUAESO-UHFFFAOYSA-N
CNC,CNC,45.085,C2H7N,dimethylamine,CNC,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3",InChIKey=ROSDSFDQCJNGOL-UHFFFAOYSA-N
NCC,CCN,45.085,C2H7N,ethanamine,NCC,"InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3",InChIKey=QUSNBJAOOMFDIB-UHFFFAOYSA-N
O=N[O-],O=N[O-],46.0055,NO2-,nitrite,O=N[O-],"InChI=1S/HNO2/c2-1-3/h(H,2,3)/p-1",InChIKey=IOVCWXUNBOPUCH-UHFFFAOYSA-M
O=CO,O=CO,46.025,CH2O2,formic acid,O=CO,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",InChIKey=BDAGIHXWWSANSR-UHFFFAOYSA-N
C=C(F),C=CF,46.0444,C2H3F,fluoroethene,C=C(F),"InChI=1S/C2H3F/c1-2-3/h2H,1H2",InChIKey=XUCNUKMRBVNAPB-UHFFFAOYSA-N
OCC,CCO,46.069,C2H6O,ethanol,OCC,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N
COC,COC,46.069,C2H6O,methoxymethane,COC,InChI=1S/C2H6O/c1-3-2/h1-2H3,InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N
NNC,CNN,46.073,CH6N2,methylhydrazine,NNC,"InChI=1S/CH6N2/c1-3-2/h3H,2H2,1H3",InChIKey=HDZGCSFEDULWCS-UHFFFAOYSA-N
CNO,CNO,47.057,CH5NO,N-methylhydroxylamine,CNO,"InChI=1S/CH5NO/c1-2-3/h2-3H,1H3",InChIKey=CPQCSJYYDADLCZ-UHFFFAOYSA-N
NOC,CON,47.057,CH5NO,O-methylhydroxylamine,NOC,"InChI=1S/CH5NO/c1-3-2/h2H2,1H3",InChIKey=GMPKIPWJBDOURN-UHFFFAOYSA-N
P=O,O=P,47.9808,HOP,oxophosphane,P=O,InChI=1S/HOP/c1-2/h2H,InChIKey=AUONHKJOIZSQGR-UHFFFAOYSA-N
O=[O+][O-],O=[O+][O-],47.997,O3,ozone,O=O=O,InChI=1S/O3/c1-3-2,InChIKey=CBENFWSGALASAD-UHFFFAOYSA-N
CP,CP,48.0248,CH5P,methylphosphane,CP,"InChI=1S/CH5P/c1-2/h2H2,1H3",InChIKey=SAWKFRBJGLMMES-UHFFFAOYSA-N
COO,COO,48.041,CH4O2,hydroperoxymethane,COO,"InChI=1S/CH4O2/c1-3-2/h2H,1H3",InChIKey=MEUKEBNAABNAEX-UHFFFAOYSA-N
C(CF),CCF,48.0604,C2H5F,fluoroethane,C(CF),"InChI=1S/C2H5F/c1-2-3/h2H2,1H3",InChIKey=UHCBBWUQDAVSMS-UHFFFAOYSA-N
SC,CS,48.103,CH4S,methanethiol,SC,"InChI=1S/CH4S/c1-2/h2H,1H3",InChIKey=LSDPWZHWYPCBBB-UHFFFAOYSA-N
NP,NP,49.0128,H4NP,phosphanamine,NP,InChI=1S/H4NP/c1-2/h1-2H2,InChIKey=XQJHRCVXRAJIDY-UHFFFAOYSA-N
NC(F),NCF,49.0484,CH4FN,fluoromethanamine,NC(F),"InChI=1S/CH4FN/c2-1-3/h1,3H2",InChIKey=BYVCDJVESPBRQW-UHFFFAOYSA-N
OC(F),OCF,50.0324,CH3FO,fluoromethanol,OC(F),"InChI=1S/CH3FO/c2-1-3/h3H,1H2",InChIKey=RLWXXXHAQBWSPA-UHFFFAOYSA-N
C#CC#C,C#CC#C,50.06,C4H2,"buta-1,3-diyne",C#CC#C,InChI=1S/C4H2/c1-3-4-2/h1-2H,InChIKey=LLCSWKVOHICRDD-UHFFFAOYSA-N
CCl,CCl,50.485,CH3Cl,chloromethane,CCl,InChI=1S/CH3Cl/c1-2/h1H3,InChIKey=NEHMKBQYUWJMIP-UHFFFAOYSA-N
C#CC#N,C#CC#N,51.048,C3HN,propiolonitrile,C#CC#N,InChI=1S/C3HN/c1-2-3-4/h1H,InChIKey=LNDJVIYUJOJFSO-UHFFFAOYSA-N
C(F)(F),FCF,52.0238,CH2F2,difluoromethane,C(F)(F),InChI=1S/CH2F2/c2-1-3/h1H2,InChIKey=RWRIWBAIICGTTQ-UHFFFAOYSA-N
N#CC#N,N#CC#N,52.036,C2N2,cyanogen,N#CC#N,InChI=1S/C2N2/c3-1-2-4,InChIKey=JMANVNJQNLATNU-UHFFFAOYSA-N
C=CC#C,C#CC=C,52.076,C4H4,but-1-en-3-yne,C=CC#C,"InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2",InChIKey=WFYPICNXBKQZGB-UHFFFAOYSA-N
C=C=C=C,C=C=C=C,52.076,C4H4,"buta-1,2,3-triene",C=C=C=C,InChI=1S/C4H4/c1-3-4-2/h1-2H2,InChIKey=WHVXVDDUYCELKP-UHFFFAOYSA-N
B1(C=C1)N,NB1C=C1,52.871,C2H4BN,1H-boriren-1-amine,B1(C=C1)N,"InChI=1S/C2H4BN/c4-3-1-2-3/h1-2H,4H2",InChIKey=FHVGOTISGJPPFJ-UHFFFAOYSA-N
C=CC#N,C=CC#N,53.064,C3H3N,acrylonitrile,C=CC#N,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2",InChIKey=NLHHRLWOUZZQLW-UHFFFAOYSA-N
[C-]#[N+]C=C,[C-]#[N+]C=C,53.064,C3H3N,isocyanoethene,C#NC=C,"InChI=1S/C3H3N/c1-3-4-2/h3H,1H2",InChIKey=FOSDKQXKZPWNNK-UHFFFAOYSA-N
C1=CC1=O,O=c1cc1,54.048,C3H2O,cycloprop-2-en-1-one,C1=CC1=O,InChI=1S/C3H2O/c4-3-1-2-3/h1-2H,InChIKey=GGRQLKPIJPFWEZ-UHFFFAOYSA-N
C=C=C=O,C=C=C=O,54.048,C3H2O,"propa-1,2-dien-1-one",C=C=C=O,InChI=1S/C3H2O/c1-2-3-4/h1H2,InChIKey=TURAMGVWNUTQKH-UHFFFAOYSA-N
O=CC#C,C#CC=O,54.048,C3H2O,propiolaldehyde,O=CC#C,"InChI=1S/C3H2O/c1-2-3-4/h1,3H",InChIKey=IJNJLGFTSIAHEA-UHFFFAOYSA-N
CC1=CC1,CC1=CC1,54.092,C4H6,1-methylcycloprop-1-ene,CC1=CC1,"InChI=1S/C4H6/c1-4-2-3-4/h2H,3H2,1H3",InChIKey=SHDPRTQPPWIEJG-UHFFFAOYSA-N
CC1C=C1,CC1C=C1,54.092,C4H6,3-methylcycloprop-1-ene,CC1C=C1,"InChI=1S/C4H6/c1-4-2-3-4/h2-4H,1H3",InChIKey=FAPGNCCCFGCZKP-UHFFFAOYSA-N
C1C2CC12,C1C2CC12,54.092,C4H6,bicyclo[1.1.0]butane,C1C2CC12,"InChI=1S/C4H6/c1-3-2-4(1)3/h3-4H,1-2H2",InChIKey=LASLVGACQUUOEB-UHFFFAOYSA-N
CCC#C,C#CCC,54.092,C4H6,but-1-yne,CCC#C,"InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3",InChIKey=KDKYADYSIPSCCQ-UHFFFAOYSA-N
CC#CC,CC#CC,54.092,C4H6,but-2-yne,CC#CC,InChI=1S/C4H6/c1-3-4-2/h1-2H3,InChIKey=XNMQEEKYCVKGBD-UHFFFAOYSA-N
C=C=CC,C=C=CC,54.092,C4H6,"buta-1,2-diene",C=C=CC,"InChI=1S/C4H6/c1-3-4-2/h4H,1H2,2H3",InChIKey=QNRMTGGDHLBXQZ-UHFFFAOYSA-N
C=CC=C,C=CC=C,54.092,C4H6,"buta-1,3-diene",C=CC=C,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",InChIKey=KAKZBPTYRLMSJV-UHFFFAOYSA-N
C1CC=C1,C1=CCC1,54.092,C4H6,cyclobutene,C1CC=C1,"InChI=1S/C4H6/c1-2-4-3-1/h1-2H,3-4H2",InChIKey=CFBGXYDUODCMNS-UHFFFAOYSA-N
C=C1CC1,C=C1CC1,54.092,C4H6,methylenecyclopropane,C=C1CC1,InChI=1S/C4H6/c1-4-2-3-4/h1-3H2,InChIKey=XSGHLZBESSREDT-UHFFFAOYSA-N
C(=O)C#N,N#CC=O,55.036,C2HNO,formyl cyanide,C(=O)C#N,InChI=1S/C2HNO/c3-1-2-4/h2H,InChIKey=TUHMQDODLHWPCC-UHFFFAOYSA-N
CC1=CN1,CC1=CN1,55.08,C3H5N,2-methyl-1H-azirine,CC1=CN1,"InChI=1S/C3H5N/c1-3-2-4-3/h2,4H,1H3",InChIKey=ALBYXDMZZWDZBE-UHFFFAOYSA-N
C=C1CN1,C=C1CN1,55.08,C3H5N,2-methyleneaziridine,C=C1CN1,"InChI=1S/C3H5N/c1-3-2-4-3/h4H,1-2H2",InChIKey=VPOGPNWJJGESPL-UHFFFAOYSA-N
C1=CC1N,NC1C=C1,55.08,C3H5N,cycloprop-2-en-1-amine,C1=CC1N,"InChI=1S/C3H5N/c4-3-1-2-3/h1-3H,4H2",InChIKey=CMHYJNFHPVASSE-UHFFFAOYSA-N
CC[N+]#[C-],[C-]#[N+]CC,55.08,C3H5N,isocyanoethane,CCN#C,"InChI=1S/C3H5N/c1-3-4-2/h3H2,1H3",InChIKey=BPCWCZCOOFUXGQ-UHFFFAOYSA-N
CN=C=C,C=C=NC,55.08,C3H5N,N-methylethenimine,CN=C=C,"InChI=1S/C3H5N/c1-3-4-2/h1H2,2H3",InChIKey=NHPIGLPRLKEFTQ-UHFFFAOYSA-N
N(C=C)=C,C=CN=C,55.08,C3H5N,N-vinylmethanimine,N(C=C)=C,"InChI=1S/C3H5N/c1-3-4-2/h3H,1-2H2",InChIKey=TUVFMMNANXKTRP-UHFFFAOYSA-N
NCC#C,C#CCN,55.08,C3H5N,prop-2-yn-1-amine,NCC#C,"InChI=1S/C3H5N/c1-2-3-4/h1H,3-4H2",InChIKey=JKANAVGODYYCQF-UHFFFAOYSA-N
CCC#N,CCC#N,55.08,C3H5N,propiononitrile,CCC#N,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3",InChIKey=FVSKHRXBFJPNKK-UHFFFAOYSA-N
C(=C=O)=O,O=C=C=O,56.02,C2O2,"ethene-1,2-dione",C(=C=O)=O,InChI=1S/C2O2/c3-1-2-4,InChIKey=FONOSWYYBCBQGN-UHFFFAOYSA-N
[N-]=[N+]=C=O,[N-]=[N+]=C=O,56.024,CN2O,diazomethanone,[N-]=[N+]=C=O,InChI=1S/CN2O/c2-3-1-4,InChIKey=XXTZHYXQVWRADW-UHFFFAOYSA-N
N#CN=O,N#CN=O,56.024,CN2O,nitrosyl cyanide,N#CN=O,InChI=1S/CN2O/c2-1-3-4,InChIKey=CAMRHYBKQTWSCM-UHFFFAOYSA-N
C=C1CO1,C=C1CO1,56.064,C3H4O,2-methyleneoxirane,C=C1CO1,InChI=1S/C3H4O/c1-3-2-4-3/h1-2H2,InChIKey=AAEZMHSWRQVQEK-UHFFFAOYSA-N
CC1=CO1,CC1=CO1,56.064,C3H4O,2-methyloxirene,CC1=CO1,"InChI=1S/C3H4O/c1-3-2-4-3/h2H,1H3",InChIKey=UAPZPQSCIKHHSX-UHFFFAOYSA-N
O=CC=C,C=CC=O,56.064,C3H4O,acrylaldehyde,O=CC=C,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",InChIKey=HGINCPLSRVDWNT-UHFFFAOYSA-N
C1CC1=O,O=C1CC1,56.064,C3H4O,cyclopropanone,C1CC1=O,InChI=1S/C3H4O/c4-3-1-2-3/h1-2H2,InChIKey=VBBRYJMZLIYUJQ-UHFFFAOYSA-N
O=C=CC,CC=C=O,56.064,C3H4O,prop-1-en-1-one,O=C=CC,"InChI=1S/C3H4O/c1-2-3-4/h2H,1H3",InChIKey=UYLUJGRCKKSWHS-UHFFFAOYSA-N
OCC#C,C#CCO,56.064,C3H4O,prop-2-yn-1-ol,OCC#C,"InChI=1S/C3H4O/c1-2-3-4/h1,4H,3H2",InChIKey=TVDSBUOJIPERQY-UHFFFAOYSA-N
N#CCN,N#CCN,56.068,C2H4N2,2-aminoacetonitrile,N#CCN,"InChI=1S/C2H4N2/c3-1-2-4/h1,3H2",InChIKey=DFNYGALUNNFWKJ-UHFFFAOYSA-N
[N-]=[N+]=CC,CC=[N+]=[N-],56.068,C2H4N2,diazoethane,[N-]=[N+]=CC,"InChI=1S/C2H4N2/c1-2-4-3/h2H,1H3",InChIKey=WLXALCKAKGDNAT-UHFFFAOYSA-N
CNC#N,CNC#N,56.068,C2H4N2,N-methylcyanamide,CNC#N,"InChI=1S/C2H4N2/c1-4-2-3/h4H,1H3",InChIKey=MCLITRXWHZUNCQ-UHFFFAOYSA-N
C=C(C)C,C=C(C)C,56.108,C4H8,2-methylprop-1-ene,C=C(C)C,"InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3",InChIKey=VQTUBCCKSQIDNK-UHFFFAOYSA-N
CCC=C,C=CCC,56.108,C4H8,but-1-ene,CCC=C,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3",InChIKey=VXNZUUAINFGPBY-UHFFFAOYSA-N
CC=CC,CC=CC,56.108,C4H8,but-2-ene,CC=CC,"InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3",InChIKey=IAQRGUVFOMOMEM-UHFFFAOYSA-N
C1CCC1,C1CCC1,56.108,C4H8,cyclobutane,C1CCC1,InChI=1S/C4H8/c1-2-4-3-1/h1-4H2,InChIKey=PMPVIKIVABFJJI-UHFFFAOYSA-N
CC1CC1,CC1CC1,56.108,C4H8,methylcyclopropane,CC1CC1,"InChI=1S/C4H8/c1-4-2-3-4/h4H,2-3H2,1H3",InChIKey=VNXBKJFUJUWOCW-UHFFFAOYSA-N
B(N)(C)C,CB(C)N,56.903,C2H8BN,dimethylboranamine,B(N)(C)C,"InChI=1S/C2H8BN/c1-3(2)4/h4H2,1-2H3",InChIKey=NHYSHMZGBQMTLC-UHFFFAOYSA-N
N#CCO,N#CCO,57.052,C2H3NO,2-hydroxyacetonitrile,N#CCO,"InChI=1S/C2H3NO/c3-1-2-4/h4H,2H2",InChIKey=LTYRAPJYLUPLCI-UHFFFAOYSA-N
C1C(=O)N1,O=C1CN1,57.052,C2H3NO,aziridin-2-one,C1C(=O)N1,"InChI=1S/C2H3NO/c4-2-1-3-2/h1H2,(H,3,4)",InChIKey=SNPIMBDCLUUDST-UHFFFAOYSA-N
N#COC,COC#N,57.052,C2H3NO,cyanatomethane,N#COC,InChI=1S/C2H3NO/c1-4-2-3/h1H3,InChIKey=JYQQWQJCEUMXQZ-UHFFFAOYSA-N
CN=C=O,CN=C=O,57.052,C2H3NO,isocyanatomethane,CN=C=O,InChI=1S/C2H3NO/c1-3-2-4/h1H3,InChIKey=HAMGRBXTJNITHG-UHFFFAOYSA-N
O=NC=C,C=CN=O,57.052,C2H3NO,nitrosoethene,O=NC=C,"InChI=1S/C2H3NO/c1-2-3-4/h2H,1H2",InChIKey=QBKNMYIBUNIILR-UHFFFAOYSA-N
NOC#C,C#CON,57.052,C2H3NO,O-ethynylhydroxylamine,NOC#C,"InChI=1S/C2H3NO/c1-2-4-3/h1H,3H2",InChIKey=HBWVBVVATOXSLQ-UHFFFAOYSA-N
[N-]=[N+]=NC,CN=[N+]=[N-],57.056,CH3N3,azidomethane,[N-]=[N+]=NC,InChI=1S/CH3N3/c1-3-4-2/h1H3,InChIKey=PBTHJVDBCFJQGG-UHFFFAOYSA-N
N1(C)CC1,CN1CC1,57.096,C3H7N,1-methylaziridine,N1(C)CC1,"InChI=1S/C3H7N/c1-4-2-3-4/h2-3H2,1H3",InChIKey=XLJQPXVBQNJNLW-UHFFFAOYSA-N
CC1CN1,CC1CN1,57.096,C3H7N,2-methylaziridine,CC1CN1,"InChI=1S/C3H7N/c1-3-2-4-3/h3-4H,2H2,1H3",InChIKey=OZDGMOYKSFPLSE-UHFFFAOYSA-N
C1CCN1,C1CNC1,57.096,C3H7N,azetidine,C1CCN1,"InChI=1S/C3H7N/c1-2-4-3-1/h4H,1-3H2",InChIKey=HONIICLYMWZJFZ-UHFFFAOYSA-N
NC1CC1,NC1CC1,57.096,C3H7N,cyclopropanamine,NC1CC1,"InChI=1S/C3H7N/c4-3-1-2-3/h3H,1-2,4H2",InChIKey=HTJDQJBWANPRPF-UHFFFAOYSA-N
N(=C)CC,C=NCC,57.096,C3H7N,N-ethylmethanimine,N(=C)CC,"InChI=1S/C3H7N/c1-3-4-2/h2-3H2,1H3",InChIKey=FKOYAFITBICFAO-UHFFFAOYSA-N
C=CNC,C=CNC,57.096,C3H7N,N-methylethenamine,C=CNC,"InChI=1S/C3H7N/c1-3-4-2/h3-4H,1H2,2H3",InChIKey=HGUZQMQXAHVIQC-UHFFFAOYSA-N
C\C=C\N,CC=CN,57.096,C3H7N,prop-1-en-1-amine,C\C=C\N,"InChI=1S/C3H7N/c1-2-3-4/h2-3H,4H2,1H3",InChIKey=AMLFJZRZIOZGPW-UHFFFAOYSA-N
C=C(N)C,C=C(C)N,57.096,C3H7N,prop-1-en-2-amine,C=C(N)C,"InChI=1S/C3H7N/c1-3(2)4/h1,4H2,2H3",InChIKey=QHLGGLJSGHUBAT-UHFFFAOYSA-N
NCC=C,C=CCN,57.096,C3H7N,prop-2-en-1-amine,NCC=C,"InChI=1S/C3H7N/c1-2-3-4/h2H,1,3-4H2",InChIKey=VVJKKWFAADXIJK-UHFFFAOYSA-N
OB(C)C,CB(C)O,57.887,C2H7BO,hydroxydimethylborane,OB(C)C,"InChI=1S/C2H7BO/c1-3(2)4/h4H,1-2H3",InChIKey=HWEKVSRZLQDNFL-UHFFFAOYSA-N
O=CC=O,O=CC=O,58.036,C2H2O2,oxalaldehyde,O=CC=O,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,InChIKey=LEQAOMBKQFMDFZ-UHFFFAOYSA-N
N#CNO,N#CNO,58.04,CH2N2O,N-hydroxycyanamide,N#CNO,InChI=1S/CH2N2O/c2-1-3-4/h3-4H,InChIKey=ROPLCSFPUPWHGJ-UHFFFAOYSA-N
FC1=CC1,FC1=CC1,58.0554,C3H3F,1-fluorocycloprop-1-ene,FC1=CC1,"InChI=1S/C3H3F/c4-3-1-2-3/h1H,2H2",InChIKey=BKGFFXQUCIPKJK-UHFFFAOYSA-N
C(C#CF),CC#CF,58.0554,C3H3F,1-fluoroprop-1-yne,C(C#CF),InChI=1S/C3H3F/c1-2-3-4/h1H3,InChIKey=JZYKNIBCQRIYQP-UHFFFAOYSA-N
FC1C=C1,FC1C=C1,58.0554,C3H3F,3-fluorocycloprop-1-ene,FC1C=C1,InChI=1S/C3H3F/c4-3-1-2-3/h1-3H,InChIKey=QUZXGTYMEGIRGW-UHFFFAOYSA-N
C(F)(C#C),C#CCF,58.0554,C3H3F,3-fluoroprop-1-yne,C(F)(C#C),"InChI=1S/C3H3F/c1-2-3-4/h1H,3H2",InChIKey=QEMMTKPYWRKLME-UHFFFAOYSA-N
CC1CO1,CC1CO1,58.08,C3H6O,2-methyloxirane,CC1CO1,"InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3",InChIKey=GOOHAUXETOMSMM-UHFFFAOYSA-N
OC1CC1,OC1CC1,58.08,C3H6O,cyclopropanol,OC1CC1,"InChI=1S/C3H6O/c4-3-1-2-3/h3-4H,1-2H2",InChIKey=YOXHCYXIAVIFCZ-UHFFFAOYSA-N
COC=C,C=COC,58.08,C3H6O,methoxyethene,COC=C,"InChI=1S/C3H6O/c1-3-4-2/h3H,1H2,2H3",InChIKey=XJRBAMWJDBPFIM-UHFFFAOYSA-N
C1CCO1,C1COC1,58.08,C3H6O,oxetane,C1CCO1,InChI=1S/C3H6O/c1-2-4-3-1/h1-3H2,InChIKey=AHHWIHXENZJRFG-UHFFFAOYSA-N
OCC=C,C=CCO,58.08,C3H6O,prop-2-en-1-ol,OCC=C,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2",InChIKey=XXROGKLTLUQVRX-UHFFFAOYSA-N
CC(C)=O,CC(C)=O,58.08,C3H6O,propan-2-one,CC(C)=O,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,InChIKey=CSCPPACGZOOCGX-UHFFFAOYSA-N
