SMILES,rdkit_SMILES,Molecular Weight,Molecular Formula,IUPAC chemical name,EPISUITE-compatible SMILES,InChI Code,InChI Key
C#CC1=CC1I,C#CC1=CC1I,189.983,C5H3I,1-ethynyl-3-iodocycloprop-1-ene,C#CC1=CC1I,"InChI=1S/C5H3I/c1-2-4-3-5(4)6/h1,3,5H",InChIKey=DZZYUSVXMUZCIN-UHFFFAOYSA-N
C(C)#C(C#CI),CC#CC#CI,189.983,C5H3I,"1-iodopenta-1,3-diyne",C(C)#C(C#CI),InChI=1S/C5H3I/c1-2-3-4-5-6/h1H3,InChIKey=ZYWAFJXPPXRZAM-UHFFFAOYSA-N
C(C#C)(C#CI),C#CCC#CI,189.983,C5H3I,"1-iodopenta-1,4-diyne",C(C#C)(C#CI),"InChI=1S/C5H3I/c1-2-3-4-5-6/h1H,3H2",InChIKey=GRUSZTLJTRXIMH-UHFFFAOYSA-N
IC#CC1C=C1,IC#CC1C=C1,189.983,C5H3I,3-(iodoethynyl)cycloprop-1-ene,IC#CC1C=C1,"InChI=1S/C5H3I/c6-4-3-5-1-2-5/h1-2,5H",InChIKey=BLHGWBACHSWLTI-UHFFFAOYSA-N
IC1=CC1C#C,C#CC1C=C1I,189.983,C5H3I,3-ethynyl-1-iodocycloprop-1-ene,IC1=CC1C#C,"InChI=1S/C5H3I/c1-2-4-3-5(4)6/h1,3-4H",InChIKey=LSRKIMFOXQNPFJ-UHFFFAOYSA-N
IC1(C#C)C=C1,C#CC1(I)C=C1,189.983,C5H3I,3-ethynyl-3-iodocycloprop-1-ene,IC1(C#C)C=C1,"InChI=1S/C5H3I/c1-2-5(6)3-4-5/h1,3-4H",InChIKey=STHAPSAFOMSDSR-UHFFFAOYSA-N
C(I)(C#C)(C#C),C#CC(I)C#C,189.983,C5H3I,"3-iodopenta-1,4-diyne",C(I)(C#C)(C#C),"InChI=1S/C5H3I/c1-3-5(6)4-2/h1-2,5H",InChIKey=XZDBJCSOQHOKBS-UHFFFAOYSA-N
C(CI)#C(C#C),C#CC#CCI,189.983,C5H3I,"5-iodopenta-1,3-diyne",C(CI)#C(C#C),"InChI=1S/C5H3I/c1-2-3-4-5-6/h1H,5H2",InChIKey=YDYVLFPDPYMSPO-UHFFFAOYSA-N
CC(I)Cl,CC(Cl)I,190.408,C2H4ClI,1-chloro-1-iodoethane,CC(I)Cl,"InChI=1S/C2H4ClI/c1-2(3)4/h2H,1H3",InChIKey=RYAGQMSEMGVLGY-UHFFFAOYSA-N
ClCCI,ClCCI,190.408,C2H4ClI,1-chloro-2-iodoethane,ClCCI,InChI=1S/C2H4ClI/c3-1-2-4/h1-2H2,InChIKey=JTWWWQGSFTWWDL-UHFFFAOYSA-N
ClC1C(Br)(Cl)N1,ClC1NC1(Cl)Br,190.849,C2H2BrCl2N,"2-bromo-2,3-dichloroaziridine",ClC1C(Br)(Cl)N1,"InChI=1S/C2H2BrCl2N/c3-2(5)1(4)6-2/h1,6H",InChIKey=VJPZAUXSZJVSID-UHFFFAOYSA-N
BrC1C(Cl)(Cl)N1,ClC1(Cl)NC1Br,190.849,C2H2BrCl2N,"3-bromo-2,2-dichloroaziridine",BrC1C(Cl)(Cl)N1,"InChI=1S/C2H2BrCl2N/c3-1-2(4,5)6-1/h1,6H",InChIKey=XAZVTFSUNZEZIT-UHFFFAOYSA-N
NOC(I)F,NOC(F)I,190.944,CH3FINO,O-(fluoroiodomethyl)hydroxylamine,NOC(I)F,"InChI=1S/CH3FINO/c2-1(3)5-4/h1H,4H2",InChIKey=FYZPGCBDLLRGSB-UHFFFAOYSA-N
IC#CC1=CN1,IC#CC1=CN1,190.971,C4H2IN,2-(iodoethynyl)-1H-azirine,IC#CC1=CN1,"InChI=1S/C4H2IN/c5-2-1-4-3-6-4/h3,6H",InChIKey=PSOAMGFIEIFCDE-UHFFFAOYSA-N
IC(N1)=C1C#C,C#CC1=C(I)N1,190.971,C4H2IN,2-ethynyl-3-iodo-1H-azirine,IC(N1)=C1C#C,"InChI=1S/C4H2IN/c1-2-3-4(5)6-3/h1,6H",InChIKey=QPOAEPSPHVVAJZ-UHFFFAOYSA-N
CSSC(Br)(F),CSSC(F)Br,191.076,C2H4BrFS2,1-(bromofluoromethyl)-2-methyldisulfane,CSSC(Br)(F),"InChI=1S/C2H4BrFS2/c1-5-6-2(3)4/h2H,1H3",InChIKey=HAMJHWUKSNUCQS-UHFFFAOYSA-N
C(Br)SSC(F),FCSSCBr,191.076,C2H4BrFS2,1-(bromomethyl)-2-(fluoromethyl)disulfane,C(Br)SSC(F),InChI=1S/C2H4BrFS2/c3-1-5-6-2-4/h1-2H2,InChIKey=YWDRHZBQHRXBRH-UHFFFAOYSA-N
PC(Br)=C(Cl)F,FC(Cl)=C(P)Br,191.364,C2H2BrClFP,(1-bromo-2-chloro-2-fluorovinyl)phosphane,PC(Br)=C(Cl)F,InChI=1S/C2H2BrClFP/c3-1(6)2(4)5/h6H2,InChIKey=HPBAKANTJSEOLJ-UHFFFAOYSA-N
